userCode;session;Alertness;GoNoGo;sGoNoGo;sDividedAttention_sens;sDividedAttention_bias;DividedAttention;OperationSpan;OperationSpan_calc;NBack;sNBack_sens;sNBack_bias;RWT_Version;RWT;Wellbeing;TrainingMotivation;Group
0gnkw;3;0.290341895;0.326081011;0.9;3.147462444;15;1.122472227;0.175299091;0.998110169;0.710526488;3.239755226;0.430293546;K;8;60.94;74.09;PASV
0gnkw;5;0.274441421;0.297863143;0.777777778;4.310607352;-5;1.384764865;0.134239718;0.914258365;0.849933386;3.574216546;0.939810413;P;9;51.95;56.12;PASV
0gnkw;6;0.37583862;0.401826078;0.714285714;5.299316867;-1;1.494041088;0.626952196;0.978145454;1.047548588;3.426417782;0.523624824;S;12;55.3;59.81;PASV
0gnkw;7;0.306582451;0.320215797;1;5.776964092;-1;1.452439014;0.782977814;0.974152511;0.759828641;5.80814249;0.706846668;R;11;35.16;55.99;PASV
0gnkw;9;0.303217839;0.314855464;1;7.944846711;0;1.388652404;0.677678571;0.929166667;1.027326215;3.64631984;0.633575853;S;15;55.73;62.76;PASV
0gnkw;11;0.288369294;0.362641195;1;5.702670746;-1;1.400236225;0.647321429;0.96875;0.915133916;6.924612396;1.265081621;K;13;67.06;64.19;PASV
0gnkw;13;0.301871918;0.369220648;0.933333333;6.959398512;1;1.319160336;0.739880952;1;0.851232637;5.916971886;1.768901876;P;9;57.81;52.73;PASV
0gnkw;19;0.303742111;0.40363853;1;7.899895323;3;1.334032433;0.823214286;1;1.044962406;4.458215773;1.381810026;K;10;50;58.33;PASV
0gnkw;21;0.283443451;0.321942935;1;7.006393249;-1;1.2983748;0.654464286;1;1.063991602;5.279134547;0.442342696;P;12;65.76;50;PASV
0gnkw;23;0.274271644;0.28518188;1;8.108021221;0;1.343498933;0.785119048;1;0.92604036;6.978213743;0.121811041;R;12;50;65.89;PASV
0gnkw;24;0.291144882;0.318536925;0.833333333;7.006393249;0;1.459747905;0.858928571;1;1.129304299;5.279134547;0.442342696;S;16;50;70.05;PASV
0gnkw;27;0.300075897;0.309516324;1;5.702670746;-2;1.321548923;0.590178571;1;1.139844871;3.574216546;0.939810413;K;12;61.85;50;PASV
0gnkw;28;0.32032213;0.340447466;1;5.376203905;-3;1.43222644;0.813095238;0.982142857;0.962238203;4.336356598;0.558740386;P;12;68.62;64.32;PASV
0gnkw;29;0.279413141;0.416869534;1;7.067319849;1;1.164989414;0.896428571;1;0.938633144;5.220355825;1.00074;P;10;60.55;64.32;PASV
0gnkw;30;0.273914201;0.341781582;0.933333333;7.006393249;-1;0.967690025;0.690178571;0.954166667;1.006228685;4.458215773;1.381810026;R;10;70.57;50;PASV
0gnkw;36;0.277533719;0.321710755;1;6.447939576;-1;1.211683249;0.711607143;0.96875;0.786954979;4.336356598;0.558740386;P;11;55.34;73.7;PASV
0gnkw;38;0.267371314;0.281201942;1;6.899387029;0;1.134917287;0.830952381;1;1.069286691;5.220355825;1.00074;R;11;57.68;65.63;PASV
0gnkw;40;0.268750155;0.359156609;1;6.863803391;0;1.00613609;0.719047619;0.979166667;0.852632064;5.80814249;0.706846668;S;16;66.15;70.83;PASV
0gnkw;42;0.258409049;0.383549118;1;6.290457411;0;1.06477917;0.733928571;1;0.745190365;8.094683649;0.680045994;K;13;67.97;68.75;PASV
0gnkw;44;0.30008001;0.43906333;1;6.959398512;-1;0.976292798;0.925595238;0.982142857;1.099806428;5.220355825;1.00074;P;12;56.9;69.53;PASV
0gnkw;46;0.33037201;0.407920504;0.9375;6.984407631;-1;1.134906578;0.771428571;0.96875;1.001607633;3.92920783;1.117306055;R;13;50;55.73;PASV
0gnkw;47;0.267355115;0.331148369;1;8.053569169;0;1.047958334;0.83125;1;1.035733755;6.924612396;1.265081621;R;11;64.45;67.97;PASV
0gnkw;48;0.276518781;0.337729961;0.888888889;8.182279739;0;1.110457013;0.81547619;1;0.771128069;4.80050198;1.210666923;S;17;65.63;45.83;PASV
0gnkw;49;0.298896968;0.369795257;1;6.899387029;1;0.992399618;0.794047619;1;0.931554818;4.271494037;0.946162951;K;11;60.68;63.67;PASV
0gnkw;51;0.282867432;0.273154795;1;7.006393249;-1;1.096075035;0.753869048;1;1.016146166;6.978213743;0.121811041;P;9;54.95;67.45;PASV
0gnkw;53;0.351854307;0.316790414;1;8.082402254;0;0.980722779;0.7625;1;0.885469913;8.094683649;0.680045994;P;11;73.7;62.89;PASV
0gnkw;55;0.261982509;0.341818047;1;7.985143931;0;1.27375868;0.703571429;1;1.204345595;4.80050198;1.210666923;R;7;50;56.64;PASV
0uh8j;2;0.26906974;0.275984851;0.923076923;3.908014984;16;1.63353887;0.811944347;0.91305444;0.884752599;3.426417782;0.523624824;K;9;60.68;81.9;PASV
